No,Journal,n,cites,h5,h5med,IF,IF5,IM,JCI,CS,SNIP,SJR
1,AM NAT,158,32694,44,56,3.926,4.286,1.513,1.08,6.1,1.331,1.954
2,AMBIO,224,11112,53,76,5.129,6.019,2.625,0.86,9,1.937,1.564
3,ANIM CONSERV,113,4139,31,40,3.641,3.795,1.301,1.02,5.3,1.169,1.111
4,ANNU REV ECOL EVOL SYST,25,23595,48,93,13.915,19.387,0.84,NA,22.2,5.183,7.849
5,ANNU REV MAR SCI,21,5492,49,97,13.85,19.567,7.571,NA,30.4,5.112,5.879
6,ANNU REV PSYCHOL,25,28065,75,170,24.137,32.504,7.04,NA,36.7,10.632,10.358
8,AQUAT CONSERV,246,5268,37,54,2.771,3.37,0.801,0.85,4,1.029,0.95
9,AUK,50,6656,27,40,2.188,2.442,0.9,1.51,4.3,1.096,1.077
10,AUSTRAL ECOL,147,5086,22,28,2.082,2.026,0.619,0.54,2.8,0.787,0.688
11,BASIC APPL ECOL,63,4102,26,47,3.414,3.757,1.079,0.89,5.2,1.116,1.372
12,BEHAV ECOL,147,11428,38,54,2.671,3.329,1.633,1.03,4.4,0.997,1.162
13,BEHAV ECOL SOCIOBIOL,143,13887,35,53,2.98,2.755,0.434,0.99,4.3,1.036,1.203
14,BIODIV CONSERV,221,13955,45,64,3.549,3.915,1.158,0.75,5.1,1.26,1.033
15,BIOL CONSERV,405,39669,80,112,5.99,6.552,1.837,1.39,8.9,2.125,2.227
16,BIOL INVASIONS,317,12452,51,70,3.133,3.694,1.41,0.92,5.6,1.297,1.167
17,BIOL LETT,200,12880,48,74,3.703,4.228,0.815,0.89,5,1.177,1.596
18,BIOL REV,123,17047,81,122,12.82,14.03,2.707,2.87,22.4,4.112,4.993
19,BIOSCIENCE,76,22560,60,80,8.589,9.843,4.355,2.32,11.3,2.912,2.761
20,BIOTROPICA,158,7763,33,44,2.508,2.998,0.854,0.62,3.6,0.877,0.813
21,BIRD CONSERV INTL,44,1413,20,32,2.287,2.166,0.864,1.08,3.8,1.403,0.91
22,BMC ECOL,67,1.69,25,33,2.964,3.322,0.284,0.7,3.4,1.067,1.019
25,CAN J FISH AQUAT SCI,164,19576,38,49,2.595,3.051,0.854,1.09,4.5,1.085,1.09
26,COMMUN BIOL,742,4996,43,60,6.268,6.268,1.187,1.43,4,1.627,2.812
27,CONDOR,60,5637,27,36,2.135,2.525,1.05,1.55,4.1,0.997,0.874
