No,Journal,n,cites,h5,h5med,IF,IF5,IM,JCI,CS,SNIP,SJR,conserv,ecol,inv,review,bes,marfreshw,mysamp,hlth,gen,genet,palaeo,energ,sust,claire,poach,poach2,oa
1,AM NAT,144,31923,44,59,4.367,4.342,1.222,1.03,6.5,1.303,1.667,,1,,,,,,,,,,,,,,,
2,AMBIO,195,13491,58,98,6.943,7.194,2.267,0.9,10.3,2.102,1.661,1,,,,,,,,,,,1,1,,,1,
3,ANIM CONSERV,84,4596,32,39,4.371,4.096,0.702,0.96,5.9,1.504,1.229,1,,,,,,,,,,,,,,,,
4,ANNU REV ECOL EVOL SYST,29,24135,48,106,14.34,20.636,0.793,1.31,20.2,4.388,6.234,,1,,1,,,,,,,,,,,,,
5,ANNU REV MAR SCI,21,6185,48,100,16.561,20.594,7.619,2.22,27,5.228,4.801,,,,1,,1,,,,,,,,,,,
6,ANNU REV PSYCHOL,27,30374,74,153,27.782,32.744,13.667,3.59,40.6,12.336,8.804,,,,,,,,,,,,,,,,1,
7,APPL ENERG,1519,151155,173,217,11.446,11.268,2.48,1.66,20.4,2.652,3.062,,,,,,,,,,,,1,1,,,,
8,AQUAT CONSERV,252,6183,37,51,3.254,3.541,0.956,0.74,4.3,1.114,0.83,1,,,,,1,1,,,,,,,,,,
9,AUSTRAL ECOL,136,5452,21,35,1.771,1.923,0.5,0.47,3.3,0.8,0.643,,1,,,,,,,,,,,,,,,
10,BASIC APPL ECOL,134,4445,28,47,3.735,3.899,1.045,0.86,4.8,1.192,0.933,1,1,1,,,1,1,,,,,,1,,,,
11,BEHAV ECOL,142,11735,36,45,3.087,3.214,1.261,1.00,5.2,1.256,1.08,,1,,,,,,,,,,,,,,,
12,BEHAV ECOL SOCIOBIOL,163,14307,35,53,2.944,3.021,0.761,0.99,5,1.263,1.023,,1,,,,,,,,,,,,,,,
13,BIODIV CONSERV,227,15361,48,62,4.296,4.416,0.7,0.79,5.7,1.287,0.974,1,,,,,,,,,,,,,,,,
14,BIOL CONSERV,413,44069,89,128,7.497,7.39,1.889,1.42,9.9,2.197,2.14,1,,,,,,,,,,,,1,,,,
15,BIOL INVASIONS,253,13450,52,71,3.605,3.906,0.727,0.82,5.5,1.291,0.981,1,1,1,,,,,,,,,,,,,,
16,BIOL LETT,156,13630,43,62,3.812,4.329,0.731,0.89,6.2,1.284,1.342,,,,,,,,,1,,1,,,,,,
17,BIOL REV,140,19206,89,136,14.35,14.786,1.486,2.64,21,4.653,4.357,,1,,1,,,,,,,,,,,,,
18,BIOSCIENCE,83,24496,63,103,11.566,11.687,2.916,2.36,12,2.798,2.26,,,,1,,,,,1,,,,1,,1,1,
19,BIOTROPICA,147,8107,28,39,2.858,3.399,0.66,0.62,3.7,1.058,0.834,,1,,,,,,,,,,,,,,,
20,BIRD CONSERV INTL,75,1714,23,30,2.693,2.493,0.8,1.03,4.3,0.994,0.634,1,,,,,,,,,,,,,,,,
21,BMC ECOL EVOL,211,2109,26,41,3.368,3.431,0.52,0.71,5.3,1.242,0.784,,1,,,,,,,,,,,,,,,1
22,BMJ OPEN,4266,71383,115,149,3.017,3.591,0.647,0.73,3.9,1.294,0.982,,,,,,,,1,,,,,,1,,,1
23,BULL WORLD HEALTH ORGAN,69,21791,64,108,13.831,13.147,4.116,2.23,10.9,3.558,2.616,,,,,,,,1,,,,,,1,,,
24,CAN J FISH AQUAT SCI,157,20529,40,49,3.102,3.198,0.898,1.01,5.1,1.109,0.93,,,,,,1,1,,,,,,,,,,
25,COMMUN BIOL,1297,11444,64,88,6.548,6.816,1.541,1.6,6,1.493,2.256,,,,,,,,,1,,,,,,,,1
26,CONDOR,NA,5881,25,32,3.043,3.102,NA,1.71,4.3,1.086,0.794,1,,,,,,,,,,,,,,,,
27,CONSERV BIOL,160,26729,63,88,7.563,7.771,1.6,1.46,10.5,2.067,2.018,1,,,,,,,,,,,,1,,1,1,
28,CONSERV GEN,90,4937,27,44,3.092,2.799,0.833,0.64,4.6,0.929,0.715,1,,,,,,,,,1,,,,,,,
29,CONSERV LETT,44,7272,66,88,10.068,10.107,2.386,1.99,18.7,2.893,2.923,1,,,,,,,,,,,,1,,1,1,1
30,CONSERV PHYSIOL,107,2485,31,40,3.252,3.785,0.738,0.80,4.4,0.997,0.916,1,,,,,,,,,,,,,,,,1
31,CONSERV SCI PRAC,237,1343,24,33,3.57,3.623,1.139,0.79,1.8,0.864,NA,1,,,,,,,,,,,,,,,,1
32,CONSERV SOC,27,1479,27,38,2.492,3.265,0.111,0.68,5.1,1.328,0.925,1,,,,,,,,,,,,,,,,
33,CONTRACEPTION,196,7686,41,56,3.051,3.392,0.801,1.08,4.6,1.362,1.071,,,,,,,,1,,,,,,1,,,
34,CORAL REEFS,156,9439,38,49,4.64,4.362,0.981,1.36,6,1.057,1.185,,,,,,1,,,,,,,,,,,
35,CURR BIOL,568,85124,117,166,10.9,12.621,2.859,1.83,11.6,2.171,2.905,,,,,,,,,1,,,,,,,,
36,CURR OP ENV SUST,101,8098,64,95,7.964,8.764,1.386,0.63,11.9,2.103,2.097,,,,,,,,,,,,1,1,,,1,
37,DIVERS DISTRIB,192,12239,49,62,5.714,5.864,1.307,1.28,8.2,1.789,1.688,,1,,,,,,,,,1,,,,,,1
38,ECOGRAPHY,144,17627,65,101,6.802,7.739,0.965,1.50,11.2,2.111,2.523,,1,,,,,,,,,,,,,,,1
39,ECOL APPL,236,26273,54,75,6.105,6.131,1.623,1.14,7.7,1.604,1.591,1,1,,,,,1,,,,,,1,,,,
40,ECOL COMPLEX,54,2449,24,38,2.969,2.593,0.944,0.54,3.7,0.968,0.551,,1,,,,,,,,,,,,,,,
41,ECOL EVOL,1308,23690,63,80,3.167,3.445,0.643,0.68,4.4,1.129,0.98,,1,,,,,,,,,,,,,,,1
42,ECOL INDIC,1514,44440,94,128,6.263,6.643,1.762,1.32,8.4,1.665,1.284,,1,,,,,,,,,,,,,,,1
43,ECOL LETT,225,42643,84,120,11.274,11.865,1.511,2.27,13.6,4.584,5.673,,1,,,,,,,,,,,,,,,
44,ECOL MANAGE RESTOR,68,1182,18,28,2.211,2.539,2.265,0.45,2.8,0.871,0.485,1,,1,,,,,,,,,,1,,,,
45,ECOL MODEL,249,23647,48,62,3.512,3.554,0.779,0.80,5.3,1.024,0.858,,1,,,,,1,,,,,,,,,,
46,ECOL MONOGR,49,14142,47,78,9.814,10.989,1.633,2.22,16.7,3.403,3.58,,1,,,,,,,,,,,,,,,
47,ECOL RES,79,4620,25,36,2.056,2.253,0.608,0.50,1.4,0.299,0.236,,1,,,,,,,,,,,,,,,
48,ECOL SOC,139,16035,61,92,4.653,6.486,0.906,1.05,8,1.656,1.246,1,1,,,,,,,,,,,,,,,1
49,ECOLOGY,271,72018,63,86,6.431,6.33,1.421,1.36,8.4,1.817,2.021,,1,,,,,,,,,,,,,,,
50,ECOSPHERE,511,12509,52,67,3.593,4.057,0.738,0.82,5.1,1.237,1.151,,1,,,,,1,,,,,,1,,,,1
51,ECOSYSTEMS,138,12357,45,59,4.345,4.921,0.717,1.13,7.8,1.437,1.371,,1,,,,,,,,,,,,,,,
52,eLIFE,2003,89502,139,189,8.713,9.393,1.7,2.21,11.6,1.927,4.752,,,,,,,,,1,,,,,,,,1
53,EMU,37,1134,18,26,1.069,1.284,0.135,0.96,2.3,0.603,0.406,1,1,,,,,,,,,,,,,,,
54,ENDANG SP RES,73,3634,33,49,3.155,3.57,0.836,0.66,4.4,1.232,0.935,1,,,,,,,,,,,,,,,,
55,ENERG ENVIRON SCI,428,113198,202,290,39.714,39.151,7.07,5.25,54,4.761,11.558,,,,,,,,,,,,1,1,,,,1
56,ENERG J,65,3975,40,58,3.494,3.472,1.077,0.69,5.4,1.312,1.352,,,,,,,,,,,,1,1,,,,
57,ENERG POLICY,656,70489,108,146,7.576,7.88,2.456,1.64,12.4,2.034,2.126,,,,,,,,,,,,1,1,,,,
58,ENERGY,3476,137633,135,166,8.857,8.234,2.505,1.46,13.4,2.038,2.041,,,,,,,,,,,,1,1,,,,
59,ENVIRON CONSERV,39,4607,28,38,4.075,3.877,0.872,0.57,4.5,1.083,0.908,1,,,,,,,,,,,,1,,,,
60,ENVIRON HEALTH PERSP,126,48245,85,110,11.035,11.72,2.706,2.24,13.8,2.116,2.09,,,,,,,,1,,,,,,,,,1
61,ENVIRON RES LETT,1042,36990,108,156,6.947,8.414,1.445,1.25,9.4,1.795,2.111,,1,,,,,,,,,,1,1,,,1,1
62,EUR J WILDL RES,101,3114,25,31,2.249,2.326,0.436,0.79,3.1,1.003,0.628,,1,,,,,,,,,,,,,,,
63,FISH FISH,92,7389,57,77,7.401,8.863,1.293,2.49,12.7,2.915,2.242,,,,1,,1,,,,,,,,,,,
64,FISH MANAG ECOL,54,2288,21,31,2.088,2.288,0.352,0.68,3.5,1.079,0.595,,,,,,1,1,,,,,,,,,,
65,FISH RES,316,12608,40,50,2.815,2.884,0.731,0.96,4.5,1.247,0.791,,,,,,1,1,,,,,,,,,,
66,FISHERIES,39,3028,24,34,3.539,3.649,0.487,0.86,3,1.08,0.61,,,,,,1,1,,,,,,,,,,
